,portion,Time,Level,Exception,Category,Recipe,Product,Protein,Fat,Kkal,Carbs,Клетчатка,Ca,Fe,Mg,P,Kali,Na,Zn,Cu,Se,A,Bcar,E,D,C,B1,B2,PP,B6,B9,B12,B4,K
0,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/asparagus-chilli-feta-farfalle,"Asparagus, chilli & feta farfalle",23.32,66.95,865.5,6.425,6.55,306,6.28,176,686.5,1019.5,1356,6.55,1.004,21.9,80,153,6.43,0.2,2.1,0.5075,0.637,4.1845,1.1685,66,1.38,80.35,65.9
1,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/bhaji-frittata,Bhaji frittata,25.725,58.635,971,16.115,13.5,772.5,25.73,413.5,708.5,3013,469,4.595,1.2565,31.35,598.5,1916,2.77,0,287.55,1.009,0.9955,7.41,1.245,210.5,0.195,135.15,695.8
2,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/black-bean-chilli,Black bean chilli,22.785,38.345,695.5,7.94,12.7,612.5,37.025,258,614,1848.5,727,4.815,0.7895,20.8,114,527.5,4.005,0.8,4.6,0.6025,0.4545,3.439,1.1685,50,0.315,83.55,53.7
3,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/brown-butter-linguine,Brown butter linguine,7.8,3.205,111.5,4.1,0.6,149.5,1.035,16.5,110.5,167,296,1.2,0.0485,9.75,13,17,0.225,0.1,0.8,0.1435,0.2085,1.8205,0.114,34,0.4,23.8,2.45
4,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/caponata-pasta,Caponata pasta,19.87,35.325,812,21.21,15.15,291,6.08,121,490,1309,792.5,4.375,0.667,32.8,56,49.5,3.435,0.05,13.3,0.6485,0.3115,2.2605,1.3195,98.5,0.285,92.45,34
5,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/cheesy-broccoli-pasta-bake,Cheesy broccoli pasta bake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/chipotle-sweet-potato-black-bean-stew-cheddar-dumplings,Chipotle sweet potato & black bean stew with cheddar dumplings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/courgette-caramelised-red-onion-tart,Courgette & caramelised red onion tart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/creamy-lemon-cabbage-pasta-garlic-crumbs,Creamy lemon & cabbage pasta with garlic crumbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/creamy-veggie-korma,Creamy veggie korma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/curried-tofu-wraps,Curried tofu wraps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/easy-peasy-risotto-chilli-mint-crumbs,Easy peasy risotto with chilli & mint crumbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/enchilada-pie,Enchilada pie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/green-masala-eggs,Green masala eggs,3.295,4.79,165,8.025,1.15,67.5,0.925,8.5,195.5,66.5,299.5,0.335,0.0365,4.35,17.5,13,0.255,0,0.05,0.095,0.0875,1.002,0.0425,27.5,0.115,29.35,1.85
14,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/jacket-potato-whipped-feta-sumac,Jacket potato with whipped feta & sumac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/microwave-shakshuka,Microwave shakshuka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/mushroom-chickpea-burgers,Mushroom & chickpea burgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/mushroom-rice-one-pot,Mushroom & rice one-pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/oregano-halloumi-orzo-salad,Oregano halloumi with orzo salad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/pan-cooked-feta-beetroot-salsa-bean-mash,Pan-cooked feta with beetroot salsa & bean mash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/cassies-pea-falafels-minty-couscous-salad,Pea falafels with minty couscous salad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/peppered-potato-soup,Peppered potato soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/red-lentil-carrot-soup,Red lentil & carrot soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/red-lentil-chickpea-chilli-soup,"Red lentil, chickpea & chilli soup",30.39,51.89,826,14.86,29.7,1281.5,63.58,622,756,4362,2230.5,7.48,1.888,33.2,945.5,9636,23.625,0.05,287.55,1.1055,1.452,13.953,1.6495,163,0.215,112.7,766.1
24,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/roasted-broccoli-puy-lentils-tahini-yogurt,"Roasted broccoli, puy lentils & tahini yogurt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/roasted-cauliflower-tomato-cashew-sauce,Roasted cauliflower with tomato & cashew sauce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/saag-paneer-kedgeree,Saag paneer kedgeree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/satay-noodle-soup,Satay noodle soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/smoky-chickpeas-toast,Smoky chickpeas on toast,3.295,4.79,165,8.025,1.15,67.5,0.925,8.5,195.5,66.5,299.5,0.335,0.0365,4.35,17.5,13,0.255,0,0.05,0.095,0.0875,1.002,0.0425,27.5,0.115,29.35,1.85
29,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/somerset-stew-cheddar-parsley-mash,Somerset stew with cheddar & parsley mash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/super-quick-sesame-ramen,Super-quick sesame ramen,7.85,3.15,88.5,0.535,2.45,68,1.205,28,103,166.5,284.5,0.63,0.1,11.3,0.5,5,0.115,0,2.25,1.3255,0.122,1.8765,0.1515,62,1.005,9.7,2.1
31,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/sweet-potato-pea-curry,Sweet potato & pea curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/sweet-potato-spinach-bake,Sweet potato & spinach bake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/tomato-soup-tear-share-cheesy-bread,Tomato soup with tear & share cheesy bread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/vegetable-curry-crowd,Vegetable curry for a crowd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/cheesy-bean-chipotle-quesadillas,Vegetarian quesadillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/veggie-yaki-udon,Veggie yaki udon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/healthy-tikka-masala,Healthy tikka masala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/prawn-fried-rice,Prawn fried rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/vegan-shepherds-pie,Vegan shepherd's pie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/double-bean-roasted-pepper-chilli,Double bean & roasted pepper chilli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/swedish-meatballs,Swedish meatballs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/bombay-lamb-wraps,Bombay lamb wraps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/curried-cod,Curried cod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/kidney-bean-curry,Kidney bean curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spinach-sweet-potato-lentil-dhal,"Spinach, sweet potato & lentil dhal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/lentil-ragu,Lentil ragu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/breakfast-smoothie,Breakfast smoothie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/super-berry-smoothie,Super berry smoothie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/raspberry-and-apple-smoothie,Raspberry and apple smoothie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/two-minute-breakfast-smoothie,Two-minute breakfast smoothie,0.2,0.05,28,0.19,0.8,2.5,0.1,5,3.5,44,0,0.03,0.02,0.3,1,8.5,0.3,0,8.35,0.006,0.0155,0.0915,0.0575,3,0,2.05,0
51,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spinach-smoothie,Spinach smoothie,0.2,0.05,28,0.19,0.8,2.5,0.1,5,3.5,44,0,0.03,0.02,0.3,1,8.5,0.3,0,8.35,0.006,0.0155,0.0915,0.0575,3,0,2.05,0
52,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/cranberry-raspberry-smoothie,Cranberry & raspberry smoothie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/polenta-chorizo-poached-eggs,Polenta with chorizo & poached eggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/roast-chicken-fennel-olives,Roast chicken with fennel & olives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/creamy-curried-chicken-rice-soup,Creamy curried chicken & rice soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spaghetti-puttanesca,Spaghetti puttanesca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/chorizo-red-cabbage-tacos,Chorizo & red cabbage tacos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/easy-sausage-fennel-risotto,Easy sausage & fennel risotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/cheats-sausage-larb,Cheat’s sausage larb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/creamy-pesto-kale-pasta,Creamy pesto & kale pasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/herby-mushroom-pasta,Herby mushroom pasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/orecchiette-with-butter-beans-parsley-chilli-lemon,"Orecchiette with butter beans, parsley, chilli & lemon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/butternut-bacon-fusilli,Butternut & bacon fusilli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/super-smoky-bacon-tomato-spaghetti,Super smoky bacon & tomato spaghetti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/creamy-pasta-asparagus-peas,Creamy pasta with asparagus & peas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/salmon-spinach-pasta,Salmon & spinach pasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/storecupboard-spaghetti-puttanesca,Storecupboard spaghetti puttanesca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spaghetti-leeks-peas-pesto,"Spaghetti with leeks, peas & pesto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/orzo-tomato-soup,Orzo & tomato soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/so-simple-spaghetti-bolognese,Healthy spaghetti bolognese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/poor-mans-vongole-rosso,Poor man's vongole rosso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/quick-springtime-pasta,Quick springtime pasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spaghetti-sardines,Spaghetti with sardines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/salmon-pasta-salad-lemon-capers,Salmon pasta salad with lemon & capers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/sardine-pasta-crunchy-parsley-crumbs,Sardine pasta with crunchy parsley crumbs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spaghetti-cherry-tomato-black-olive-sauce,Spaghetti with cherry tomato & black olive sauce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/spaghetti-lemon-parmesan-peas,"Spaghetti with lemon, Parmesan & peas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-meatballs,Slow cooker meatballs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-honey-mustard-chicken-thighs,Slow cooker honey mustard chicken thighs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,200,30,1,ничего,каша,https://www.bbcgoodfood.com/recipes/slow-cooker-mac-n-cheese,Slow cooker mac ’n’ cheese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
